Date,Open,High,Low,Close,Volume,Adj Close
1997-06-23,898.70001,902.09003,878.42999,887.29999,522190000,887.29999
1997-06-16,893.27002,901.77002,886.19,898.70001,527816000,898.70001
1997-06-09,858.01001,894.69,858.01001,893.27002,535014000,893.27002
1997-06-02,848.28003,859.23999,838.82001,858.01001,474262000,858.01001
1997-05-27,847.03003,851.87,831.87,848.28003,480822500,848.28003
1997-05-19,829.75,848.48999,826.40997,847.03003,436138000,847.03003
1997-05-12,824.78003,842.45001,824.78003,829.75,479808000,829.75
1997-05-05,812.96997,832.28998,811.79999,824.78003,528696000,824.78003
1997-04-28,765.37,812.98999,763.29999,812.96997,493676000,812.96997
1997-04-21,766.34003,779.89001,756.38,765.37,460428000,765.37
1997-04-14,737.65002,768.54999,733.53998,766.34003,477138000,766.34003
1997-04-07,757.90002,769.53003,737.64001,737.65002,444450000,737.65002
1997-03-31,773.88,773.88,744.03998,757.90002,518490000,757.90002
1997-03-24,784.09998,798.10999,767.32001,773.88,480737500,773.88
1997-03-17,793.16998,797.17999,778.03998,784.09998,526882000,784.09998
1997-03-10,804.96997,814.90002,789.44,793.16998,490266000,793.16998
1997-03-03,790.82001,808.19,785.65997,804.96997,511238000,804.96997
1997-02-24,801.77002,812.84998,788.50,790.82001,507352000,790.82001
1997-02-18,808.47998,817.67999,799.98999,801.77002,491032500,801.77002
1997-02-10,789.56,812.92999,780.95001,808.47998,520764000,808.47998
1997-02-03,786.15997,792.71002,773.42999,789.56,522244000,789.56
1997-01-27,770.52002,791.85999,761.75,786.15997,517688000,786.15997
1997-01-20,776.16998,794.66998,768.16998,770.52002,565794000,770.52002
1997-01-13,759.50,776.37,756.69,776.16998,514784000,776.16998
1997-01-06,748.03003,759.65002,742.17999,759.50,545660000,759.50
1996-12-30,756.78998,759.20001,729.54999,748.03003,413755000,748.03003
1996-12-23,748.87,758.75,743.28003,756.78998,254215000,756.78998
1996-12-16,728.64001,755.40997,716.69,748.87,529728000,748.87
1996-12-09,739.59998,753.42999,721.96997,728.64001,454672000,728.64001
1996-12-02,757.02002,761.75,726.89001,739.59998,482298000,739.59998
1996-11-25,748.72998,762.12,747.98999,757.02002,348852500,757.02002
1996-11-18,737.62,748.72998,734.39001,748.72998,467608000,748.72998
1996-11-11,730.82001,741.91998,728.03003,737.62,452998000,737.62
1996-11-04,703.77002,730.82001,702.84003,730.82001,459980000,730.82001
1996-10-28,700.91998,708.59998,696.21997,703.77002,442726000,703.77002
1996-10-21,710.82001,714.09998,700.53003,700.91998,410840000,700.91998
1996-10-14,700.65997,711.03998,699.07001,710.82001,434792000,710.82001
1996-10-07,701.46002,705.76001,693.34003,700.65997,403054000,700.65997
1996-09-30,686.19,701.73999,684.44,701.46002,420138000,701.46002
1996-09-23,687.03003,690.88,681.01001,686.19,425050000,686.19
1996-09-16,680.53998,687.07001,679.06,687.03003,438906000,687.03003
1996-09-09,655.67999,681.39001,655.67999,680.53998,389710000,680.53998
1996-09-03,651.98999,658.21002,643.96997,655.67999,351792500,655.67999
1996-08-26,667.03003,667.40997,650.52002,651.98999,293578000,651.98999
1996-08-19,665.21002,670.67999,662.15997,667.03003,328164000,667.03003
1996-08-12,662.09998,666.34003,658.46997,665.21002,335940000,665.21002
1996-08-05,662.48999,665.37,656.83002,662.09998,342144000,662.09998
1996-07-29,635.90002,662.48999,629.21997,662.48999,381480000,662.48999
1996-07-22,638.72998,638.72998,616.42999,635.90002,393504000,635.90002
1996-07-15,646.19,646.19,605.88,638.72998,499672000,638.72998
1996-07-08,657.44,657.65002,639.52002,646.19,421258000,646.19
1996-07-01,670.63,675.88,657.40997,657.44,312870000,657.44
1996-06-24,666.84003,672.67999,661.56,670.63,397660000,670.63
1996-06-17,665.84998,668.27002,658.75,666.84003,403342000,666.84003
1996-06-10,673.31,676.71997,664.34998,665.84998,385662000,665.84998
1996-06-03,669.12,680.32001,662.47998,673.31,399504000,673.31
1996-05-28,678.51001,679.97998,664.56,669.12,355480000,669.12
1996-05-20,668.90997,681.09998,667.64001,678.51001,395856000,678.51001
1996-05-13,652.09003,669.84003,652.09003,668.90997,424724000,668.90997
1996-05-06,641.63,653.00,630.07001,652.09003,422946000,652.09003
1996-04-29,653.46002,656.44,640.22998,641.63,403802000,641.63
1996-04-22,645.07001,656.42999,645.07001,653.46002,441386000,653.46002
1996-04-15,636.71002,647.32001,636.71002,645.07001,423144000,645.07001
1996-04-08,655.85999,655.85999,624.14001,636.71002,449346000,636.71002
1996-04-01,645.50,656.67999,645.50,655.85999,392195000,655.85999
1996-03-25,650.62,655.50,644.89001,645.50,385466000,645.50
1996-03-18,641.42999,656.17999,641.42999,650.62,396350000,650.62
1996-03-11,633.50,644.16998,628.82001,641.42999,468022000,641.42999
1996-03-04,644.37,656.96997,627.63,633.50,452706000,633.50
1996-02-26,659.08002,659.08002,635.00,644.37,440622000,644.37
1996-02-20,647.97998,663.00,638.78998,659.08002,438932500,659.08002
1996-02-12,656.37,664.22998,646.98999,647.97998,424422000,647.97998
1996-02-05,635.84003,661.08002,633.71002,656.37,451808000,656.37
1996-01-29,621.62,639.26001,621.41998,635.84003,436268000,635.84003
1996-01-22,611.83002,621.70001,610.65002,621.62,426060000,621.62
1996-01-15,601.81,612.91998,598.46997,611.83002,427650000,611.83002
1996-01-08,616.71002,619.15002,597.28998,601.81,367358000,601.81
1996-01-02,615.92999,624.48999,612.02002,616.71002,445705000,616.71002
1995-12-26,611.96002,615.92999,611.96002,615.92999,269872500,615.92999
1995-12-18,616.34003,616.34003,605.04999,611.95001,409528000,611.95001
1995-12-11,617.47998,622.88,614.46002,616.34003,441864000,616.34003
1995-12-04,606.97998,621.10999,606.84003,617.47998,393556000,617.47998
1995-11-27,599.96997,608.69,599.02002,606.97998,399926000,606.97998
1995-11-20,600.07001,600.71002,595.41998,599.96997,318080000,599.96997
1995-11-13,592.71997,600.14001,588.35999,600.07001,377368000,600.07001
1995-11-06,590.57001,593.90002,584.23999,592.71997,342602000,592.71997
1995-10-30,579.70001,590.57001,579.70001,590.57001,364042000,590.57001
1995-10-23,587.46002,587.46002,572.53003,579.70001,404682000,579.70001
1995-10-16,584.50,590.65997,581.90002,587.46002,372876000,587.46002
1995-10-09,582.48999,587.39001,571.54999,584.50,349502000,584.50
1995-10-02,584.40997,585.04999,578.47998,582.48999,342294000,582.48999
1995-09-25,581.72998,587.60999,574.67999,584.40997,350204000,584.40997
1995-09-18,583.34998,586.78998,578.25,581.72998,367040000,581.72998
1995-09-11,572.67999,585.07001,572.67999,583.34998,373602000,583.34998
1995-09-05,563.85999,572.67999,563.84003,572.67999,335467500,572.67999
1995-08-28,560.09998,564.62,555.71002,563.84003,293328000,563.84003
1995-08-21,559.21002,563.34003,555.20001,560.09998,288234000,560.09998
1995-08-14,555.10999,561.23999,554.76001,559.21002,332022000,559.21002
1995-08-07,558.94,561.59003,553.03998,555.10999,292208000,555.10999
1995-07-31,562.92999,565.62,554.09998,558.94,333268000,558.94
1995-07-24,553.62,565.40002,553.62,562.92999,350026000,562.92999
1995-07-17,560.34003,562.94,542.51001,553.62,399966000,553.62
1995-07-10,556.37,562.00,553.79999,559.89001,380652000,559.89001
1995-07-03,544.75,556.57001,544.42999,556.37,340697500,556.37
1995-06-26,549.71002,549.78998,540.71997,544.75,327292000,544.75
1995-06-19,539.83002,551.07001,539.83002,549.71002,369246000,549.71002
1995-06-12,527.94,539.97998,527.94,539.83002,347558000,539.83002
1995-06-05,532.51001,537.72998,526.00,527.94,324650000,527.94
1995-05-30,523.65002,536.90997,521.38,532.51001,338280000,532.51001
1995-05-22,519.19,531.90997,519.19,523.65002,334620000,523.65002
1995-05-15,525.54999,529.08002,517.07001,519.19,347252000,519.19
1995-05-08,520.09003,527.04999,519.14001,525.54999,347200000,525.54999
1995-05-01,514.76001,525.40002,513.03003,520.12,353826000,520.12
1995-04-24,508.48999,515.28998,507.44,514.71002,340034000,514.71002
1995-04-17,509.23001,512.03003,501.19,508.48999,365672000,508.48999
1995-04-10,506.29999,509.82999,504.60999,509.23001,300275000,509.23001
1995-04-03,500.70001,507.19,500.20001,506.42001,315480000,506.42001
1995-03-27,500.97,508.14999,495.70001,500.70999,343714000,500.70999
1995-03-20,495.51999,500.97,493.67001,500.97,331774000,500.97
1995-03-13,489.57001,496.67001,489.35001,495.51999,337006000,495.51999
1995-03-06,485.42001,490.37,479.70001,489.57001,341292000,489.57001
1995-02-27,488.26001,488.26001,483.07001,485.42001,325296000,485.42001
1995-02-21,481.95001,489.19,481.94,488.10999,336190000,488.10999
1995-02-13,481.45999,485.54001,480.89001,481.97,328798000,481.97
1995-02-06,478.64001,482.60001,478.35999,481.45999,315984000,481.45999
1995-01-30,470.39001,479.91,467.48999,478.64999,377712000,478.64999
1995-01-23,464.78,471.35999,461.14001,470.39001,325622000,470.39001
1995-01-16,465.97,470.42999,463.98999,464.78,333480000,464.78
1995-01-09,460.67001,466.42999,458.64999,465.97,325466000,465.97
1995-01-03,459.20999,462.48999,457.20001,460.67999,299770000,460.67999
1994-12-27,459.85001,462.73001,459.00,459.26999,241087500,459.26999
1994-12-19,458.78,461.70001,456.37,459.82999,302876000,459.82999
1994-12-12,446.95001,458.79999,445.62,458.79999,352498000,458.79999
1994-12-05,453.29999,455.04001,442.88,446.95999,307928000,446.95999
1994-11-28,452.26001,457.13,447.97,453.29999,284284000,453.29999
1994-11-21,461.69,463.41,444.17999,452.29001,307337500,452.29001
1994-11-14,462.44,468.51001,460.25,461.47,314746000,461.47
1994-11-07,462.31,469.95001,461.25,462.35001,277076000,462.35001
1994-10-31,473.76001,474.73999,462.28,462.28,302970000,462.28
1994-10-24,464.89001,473.78,458.26001,473.76999,328144000,473.76999
1994-10-17,469.10999,471.42999,463.82999,464.89001,292404000,464.89001
1994-10-10,455.12,471.29999,455.12,469.10001,285574000,469.10001
1994-10-03,462.69,463.31,449.26999,455.10001,302254000,455.10001
1994-09-26,459.64999,465.54999,459.31,462.70999,297412000,462.70999
1994-09-19,471.20999,473.14999,458.47,459.67001,312052000,459.67001
1994-09-12,468.17999,474.81,466.14999,471.19,305640000,471.19
1994-09-06,471.00,473.39999,466.54999,468.17999,269592500,468.17999
1994-08-29,473.89001,477.59,470.67001,470.98999,282846000,470.98999
1994-08-22,463.60999,474.64999,461.45999,473.79999,288594000,473.79999
1994-08-15,461.97,465.91,459.89001,463.67999,280612000,463.67999
1994-08-08,457.07999,462.26999,456.66,461.94,256258000,461.94
1994-08-01,458.28,462.76999,456.07999,457.09,271236000,457.09
1994-07-25,453.10001,459.32999,451.35999,458.26001,242674000,458.26001
1994-07-18,454.41,455.70999,450.69,453.10999,260110000,453.10999
1994-07-11,449.56,454.32999,444.64999,454.16,267850000,454.16
1994-07-05,446.20001,449.75,444.17999,449.54999,231975000,449.54999
1994-06-27,442.78,449.82999,439.82999,446.20001,254938000,446.20001
1994-06-20,458.45001,458.45001,442.51001,442.79999,259420000,442.79999
1994-06-13,458.67001,463.23001,457.17999,458.45001,286354000,458.45001
1994-06-06,460.13,461.87,455.42999,458.67001,245022000,458.67001
1994-05-31,457.32001,460.85999,453.98999,460.13,259932500,460.13
1994-05-23,454.92001,457.76999,451.79001,457.32999,245210000,457.32999
1994-05-16,444.14999,456.88,443.62,454.92001,296502000,454.92001
1994-05-09,447.82001,447.82001,440.78,444.14001,270154000,444.14001
1994-05-02,450.91,453.98001,445.64001,447.82001,279988000,447.82001
1994-04-25,447.64001,452.79001,447.57999,450.91,292402500,450.91
1994-04-18,446.26999,449.95999,438.82999,447.63,327154000,447.63
1994-04-11,447.12,450.79999,442.62,446.17999,272776000,446.17999
1994-04-04,445.66,451.10001,435.85999,447.10001,313150000,447.10001
1994-03-28,460.57999,461.12,436.16,445.76999,346702500,445.76999
1994-03-21,471.06,471.06,460.57999,460.57999,272900000,460.57999
1994-03-14,466.44,471.09,465.48001,471.06,327542000,471.06
1994-03-07,464.73999,468.07001,462.45999,466.44,313354000,466.44
1994-02-28,466.07001,469.16,457.48999,464.73999,307582000,464.73999
1994-02-22,467.69,472.41,464.26001,466.07001,299357500,466.07001
1994-02-14,470.17999,475.12,466.07001,467.69,299734000,467.69
1994-02-07,469.81,473.41,466.89001,470.17999,308022000,470.17999
